Name,Team,Age,Height,Home Country
LeVert Caris,Cleveland Cavaliers,30,1m98,United States
Lewis Maxwell,Los Angeles Lakers,22,2m00,United States
Lewis Kira,Washington Wizards,23,1m90,United States
Liddell E.J.,Chicago Bulls,24,2m00,United States
Lillard Damian,Milwaukee Bucks,34,1m91,United States
Little Nassir,Miami Heat,25,1m99,United States
Lively Dereck,Dallas Mavericks,21,2m16,United States
Livingston Chris,Milwaukee Bucks,21,1m97,United States
Lofton Kenny,Chicago Bulls,22,2m00,United States
Looney Kevon,Golden State Warriors,29,2m06,United States
Lopez Brook,Milwaukee Bucks,36,2m13,United States
Love Kevin,Miami Heat,36,2m08,United States
Lowry Kyle,Philadelphia 76ers,38,1m85,United States
Lundy Seth,Atlanta Hawks,24,1m97,United States
Lyles Trey,Sacramento Kings,29,2m09,Canada
Mamukelashvili Sandro,San Antonio Spurs,25,2m11,"Georgia, United States"
Mann Terance,Los Angeles Clippers,28,1m98,United States
Mann Tre,Charlotte Hornets,24,1m96,United States
Markkanen Lauri,Utah Jazz,27,2m13,Finland
Marshall Naji,Dallas Mavericks,27,2m01,United States
Martin Cody,Charlotte Hornets,29,1m96,United States
Martin Jaylen,Brooklyn Nets,,1m98,
Martin Tyrese,Brooklyn Nets,25,1m97,United States
Martin Caleb,Philadelphia 76ers,29,1m96,United States
Martin Kenyon,Philadelphia 76ers,24,1m98,United States
Mathews Garrison,Atlanta Hawks,28,1m95,United States
Mathurin Bennedict,Indiana Pacers,22,2m01,Canada
Matkovic Karlo,New Orleans Pelicans,23,2m07,Bosnia and Herzegovina
Maxey Tyrese,Philadelphia 76ers,24,1m91,United States
McBride Miles,New York Knicks,24,1m88,United States
McCain Jared,Philadelphia 76ers,21,1m91,United States
McClung Mac,Orlando Magic,26,1m91,United States
McCollum C.J.,New Orleans Pelicans,33,1m92,United States
McConnell T.J.,Indiana Pacers,32,1m86,United States
McCoy Javante,Detroit Pistons,27,1m95,United States
McDaniels Jalen,Sacramento Kings,27,2m08,United States
McDaniels Jaden,Minnesota Timberwolves,24,2m05,United States
McDermott Doug,Sacramento Kings,33,2m01,United States
McGlothan Gabe,Denver Nuggets,,2m01,United States
McGowens Bryce,Portland Trail Blazers,22,2m00,United States
McLaughlin Jordan,Sacramento Kings,28,1m85,United States
McVeigh Jack,Houston Rockets,28,2m00,Australia
Melton De'Anthony,Golden State Warriors,26,1m94,United States
Mensah Nathan,San Antonio Spurs,26,2m07,Ghana
Merrill Sam,Cleveland Cavaliers,28,1m95,United States
Micic Vasilije,Charlotte Hornets,31,1m96,Serbia
Middleton Khris,Milwaukee Bucks,33,2m02,United States
Miller Jordan,Los Angeles Clippers,25,1m97,United States
Miller Emanuel,Dallas Mavericks,24,2m00,Canada
Miller Brandon,Charlotte Hornets,22,2m05,United States
Miller Leonard,Minnesota Timberwolves,22,2m06,Canada
Mills Patty,Utah Jazz,36,1m80,Australia
Milton Shake,Brooklyn Nets,28,1m98,United States
Minaya Justin,Portland Trail Blazers,25,1m93,Dominican Republic
Minix Riley,San Antonio Spurs,25,2m00,United States
Minott Josh,Minnesota Timberwolves,22,2m03,"United States, Jamaica"
Mintz Judah,Philadelphia 76ers,21,1m90,United States
Missi Yves,New Orleans Pelicans,20,2m12,Cameroon
Mitchell Trhae,New Orleans Pelicans,27,1m97,United States
Mitchell Davion,Toronto Raptors,26,1m88,United States
Mitchell Donovan,Cleveland Cavaliers,28,1m91,United States
Mitchell Ajay,Oklahoma City Thunder,22,1m92,Belgium
Mobley Isaiah,Philadelphia 76ers,25,2m07,United States
Mobley Evan,Cleveland Cavaliers,23,2m13,United States
Mogbo Jonathan,Toronto Raptors,23,2m02,United States
Monk Malik,Sacramento Kings,27,1m91,United States
Moody Moses,Golden State Warriors,22,1m98,United States
Moore Wendell,Detroit Pistons,23,1m97,United States
Moore Taze,Portland Trail Blazers,26,1m95,United States
Morales Alex,Orlando Magic,27,1m97,United States
Morant Ja,Memphis Grizzlies,25,1m91,United States
Morris Monte,Phoenix Suns,29,1m89,United States
Morris Markieff,Dallas Mavericks,35,2m08,United States
Murphy III Trey,New Orleans Pelicans,24,2m06,United States
Murray Keegan,Sacramento Kings,24,2m02,United States
Murray Dejounte,New Orleans Pelicans,28,1m96,United States
Murray Jamal,Denver Nuggets,28,1m94,Canada
Murray Kris,Portland Trail Blazers,24,2m02,United States
Mykhailiuk Sviatoslav,Utah Jazz,27,1m96,Russia
Nance Larry,Atlanta Hawks,32,2m03,United States
Nance Pete,Cleveland Cavaliers,25,2m07,United States
Nembhard Andrew,Indiana Pacers,25,1m96,Canada
Nesmith Aaron,Indiana Pacers,25,1m97,United States
Newton Tristen,Indiana Pacers,,1m95,United States
Niang Georges,Cleveland Cavaliers,31,2m01,United States
Nix Daishen,Minnesota Timberwolves,23,1m94,United States
Nnaji Zeke,Denver Nuggets,24,2m10,United States
Norris Miles,Memphis Grizzlies,24,2m08,United States
Nowell Markquis,Houston Rockets,25,1m72,United States
Nowell Jaylen,Washington Wizards,25,1m93,United States
Nurkic Jusuf,Phoenix Suns,30,2m12,Bosnia and Herzegovina
O'Neale Royce,Phoenix Suns,31,1m98,United States
Oduro Josh,New Orleans Pelicans,24,2m05,United States
Okafor Jahlil,Indiana Pacers,29,2m11,United States
Okeke Chuma,New York Knicks,26,2m03,United States
Okogie Josh,Phoenix Suns,26,1m94,United States
Okongwu Onyeka,Atlanta Hawks,24,2m05,"United States, Nigeria"
Okoro Isaac,Cleveland Cavaliers,24,1m99,United States
Olivari Quincy,Los Angeles Lakers,,1m87,United States
Olynyk Kelly,Toronto Raptors,33,2m13,United States
Omoruyi Eugene,Minnesota Timberwolves,28,2m00,"Canada, Nigeria"
Oni Miye,Memphis Grizzlies,27,1m98,United States
Oubre Kelly,Philadelphia 76ers,29,2m01,United States
Pasecniks Andzejs,Milwaukee Bucks,29,2m16,Latvia
Paul Chris,San Antonio Spurs,39,1m81,United States
Payne Cameron,New York Knicks,30,1m88,United States
Payton Elfrid,New Orleans Pelicans,31,1m91,United States
Payton II Gary,Golden State Warriors,32,1m90,United States
Pereira Joao,Memphis Grizzlies,24,2m03,Brazil
Peterson Drew,Boston Celtics,25,2m02,United States
Phillips Julian,Chicago Bulls,21,2m02,United States
Pickett Jalen,Denver Nuggets,25,1m92,United States
Pippen Jr. Scotty,Memphis Grizzlies,24,1m84,United States
Plowden Daeqwon,Atlanta Hawks,,1m97,United States
Plumlee Mason,Phoenix Suns,34,2m10,United States
Podziemski Brandin,Golden State Warriors,22,1m95,United States
Poeltl Jakob,Toronto Raptors,29,2m13,Austria
Poole Jordan,Washington Wizards,25,1m92,United States
Porter Michael,Denver Nuggets,26,2m08,United States
Porter Craig,Cleveland Cavaliers,25,1m87,United States
Porter Kevin,Los Angeles Clippers,24,1m93,United States
Portis Bobby,Milwaukee Bucks,30,2m05,United States
Porzingis Kristaps,Boston Celtics,29,2m18,Latvia
Post Quinten,Golden State Warriors,24,2m14,Netherlands
Potter Micah,Utah Jazz,26,2m07,United States
Powell Norman,Los Angeles Clippers,31,1m92,United States
Powell Dwight,Dallas Mavericks,33,2m09,United States
Preston Jason,Utah Jazz,25,1m93,United States
Prince Taurean,Milwaukee Bucks,30,2m01,United States
Pritchard Payton,Boston Celtics,27,1m85,United States
Prosper Olivier-Maxence,Dallas Mavericks,22,2m03,Canada
Pullin Zyon,Miami Heat,,1m92,United States
Queen Trevelin,Orlando Magic,28,1m98,United States
Queta Neemias,Boston Celtics,25,2m13,Portugal
Quickley Immanuel,Toronto Raptors,25,1m94,United States
Quinones Lester,Philadelphia 76ers,24,1m95,United States
Ramsey Jahmi'us,Toronto Raptors,23,1m92,United States
Randle Julius,Minnesota Timberwolves,30,2m04,United States
Reath Duop,Portland Trail Blazers,28,2m11,Sudan
Reaves Austin,Los Angeles Lakers,26,1m96,United States
Reddish Cameron,Los Angeles Lakers,25,2m03,United States
Reed Paul,Detroit Pistons,25,2m05,United States
Reese Alex,Oklahoma City Thunder,25,2m08,United States
Reeves Antonio,New Orleans Pelicans,22,1m92,United States
Reid Naz,Minnesota Timberwolves,25,2m08,United States
Rhoden Jared,Toronto Raptors,25,1m98,United States
Richards Nick,Charlotte Hornets,27,2m12,Jamaica
Richardson Josh,Miami Heat,31,1m98,United States
Richardson Will,Denver Nuggets,25,1m97,United States
Risacher Zaccharie,Atlanta Hawks,19,2m07,France
Robbins Liam,Milwaukee Bucks,25,2m12,United States
Robinson Mitchell,New York Knicks,26,2m16,United States
Robinson Orlando,Sacramento Kings,24,2m13,United States
Robinson Duncan,Miami Heat,30,2m03,United States
Robinson-Earl Jeremiah,New Orleans Pelicans,24,2m06,United States
Roddy David,Atlanta Hawks,23,1m95,United States
Rollins Ryan,Milwaukee Bucks,22,1m92,United States
Rowe Jackson,Golden State Warriors,28,2m01,Canada
Rozier Terry,Miami Heat,30,1m85,United States
Rupert Rayan,Portland Trail Blazers,20,1m99,France
Russell D'Angelo,Los Angeles Lakers,29,1m96,United States
Ryan Matt,New Orleans Pelicans,27,2m03,United States
Ryan Cormac,Oklahoma City Thunder,26,1m95,United States
Sabonis Domantas,Sacramento Kings,28,2m08,Lithuania
Salaun Tidjane,Charlotte Hornets,19,2m03,France
Samuels Jermaine,Houston Rockets,26,1m97,United States
Sanogo Adama,Chicago Bulls,23,2m00,Mali
Santos Gui,Golden State Warriors,22,2m02,Brazil
Saric Dario,Denver Nuggets,30,2m07,Croatia
Sarr Alexandre,Washington Wizards,19,2m13,France
Sasser Marcus,Detroit Pistons,24,1m84,United States
Scheierman Baylor,Boston Celtics,24,1m97,United States
Schroder Dennis,Brooklyn Nets,31,1m81,Germany
Seabron Dereon,Detroit Pistons,24,2m00,United States
Sengun Alperen,Houston Rockets,22,2m08,Turkey
Sensabaugh Brice,Utah Jazz,21,1m97,United States
Sexton Collin,Utah Jazz,26,1m90,United States
Shamet Landry,New York Knicks,27,1m93,United States
Shannon Terrence,Minnesota Timberwolves,24,1m97,United States
Sharp Jamarion,Dallas Mavericks,23,2m26,United States
